off_Rk,School,G,Pts,pass_cmp,pass_Att,cmp_Pct,pass_Yds,pass_TD,rush_Att,rush_Yds,rush_Avg,rush_TD,Plays,Yds,Avg_Yds,1st_down_Pass,1st_down_Rush,1st_down_Pen,1st_down_Tot,pen_No.,pen_Yds,Fum,Int,TO_Tot,year
41,Temple,13,29.5,10.2,21.5,47.5,146.5,1.0,42.4,187.0,4.4,2.2,63.9,333.5,5.2,6.3,10.7,1.8,18.8,5.2,40.5,0.7,1.1,1.8,2009
42,Kansas,12,29.4,26.7,42.2,63.2,310.3,1.8,31.6,112.1,3.5,1.7,73.8,422.4,5.7,13.8,8.0,1.7,23.4,6.0,48.8,1.0,0.8,1.8,2009
43,Tennessee,13,29.3,17.9,30.8,58.1,226.3,2.2,36.7,157.2,4.3,1.5,67.5,383.5,5.7,10.5,9.4,1.1,20.9,4.8,39.7,0.5,1.1,1.6,2009
44,Tulsa,12,29.3,19.0,32.4,58.6,259.3,2.1,40.0,150.8,3.8,1.6,72.4,410.1,5.7,11.2,8.5,1.0,20.7,4.8,48.5,1.1,0.8,1.9,2009
45,Louisiana Tech,12,29.2,15.7,26.7,58.8,188.1,1.6,41.6,184.2,4.4,1.7,68.3,372.3,5.5,8.6,10.3,1.3,20.2,5.9,54.8,0.7,0.4,1.1,2009
46,SMU,13,29.2,22.0,36.3,60.6,282.0,1.7,29.1,109.8,3.8,1.8,65.4,391.8,6.0,12.0,5.6,2.0,19.6,7.3,63.4,0.9,1.1,2.0,2009
47,California,13,29.1,16.5,30.2,54.5,222.7,1.4,36.2,169.5,4.7,2.1,66.5,392.2,5.9,10.5,8.2,1.6,20.2,5.2,49.4,0.7,0.6,1.3,2009
48,Utah State,12,29.1,18.2,31.3,58.0,246.8,1.6,41.3,192.6,4.7,2.1,72.7,439.3,6.0,9.8,10.1,1.4,21.3,7.4,75.8,0.9,0.3,1.3,2009
49,Missouri,13,29.0,21.1,35.9,58.7,285.5,2.0,34.2,127.0,3.7,1.2,70.1,412.5,5.9,10.9,7.8,1.8,20.6,5.3,55.1,0.6,0.8,1.5,2009
50,Ohio State,13,29.0,13.4,24.3,55.1,173.6,1.5,43.3,195.4,4.5,1.5,67.6,369.0,5.5,7.1,10.9,1.2,19.2,5.5,43.2,0.5,0.8,1.4,2009
51,Georgia,13,28.9,14.6,26.6,54.9,201.2,1.8,34.4,161.0,4.7,1.3,61.0,362.2,5.9,8.9,7.4,1.1,17.4,8.1,67.5,0.8,1.3,2.2,2009
52,Penn State,13,28.8,18.5,30.5,60.7,237.2,1.9,35.9,169.8,4.7,1.5,66.5,406.9,6.1,10.9,8.8,1.3,21.0,4.3,31.2,0.5,0.8,1.3,2009
53,Rutgers,13,28.8,12.7,25.2,50.5,191.9,1.2,37.2,134.4,3.6,1.6,62.4,326.3,5.2,7.9,6.8,1.5,16.2,6.2,45.7,0.3,0.8,1.1,2009
54,Northern Illinois,13,28.6,12.9,21.1,61.3,150.0,1.1,40.8,195.2,4.8,2.1,61.9,345.2,5.6,6.7,9.8,1.4,17.8,5.4,46.2,0.6,0.6,1.2,2009
55,Bowling Green State,13,28.5,29.3,45.8,63.9,316.2,2.1,27.7,86.5,3.1,1.5,73.5,402.7,5.5,14.5,5.5,1.6,21.6,5.5,49.3,0.6,0.5,1.2,2009
56,Oklahoma State,13,28.4,15.1,25.8,58.3,179.5,1.5,42.7,187.8,4.4,1.7,68.5,367.2,5.4,7.8,9.8,1.5,19.2,7.5,63.2,1.2,1.1,2.3,2009
57,Navy,14,28.0,4.1,7.9,52.7,75.6,0.4,58.6,280.5,4.8,3.1,66.4,356.1,5.4,2.9,15.0,1.2,19.1,3.4,29.6,0.7,0.3,1.0,2009
58,Purdue,12,27.8,22.7,37.4,60.6,255.3,1.9,32.3,136.1,4.2,1.4,69.8,391.3,5.6,12.1,6.8,0.8,19.7,5.3,41.3,1.3,1.2,2.4,2009
59,UAB,12,27.8,14.1,24.3,58.1,196.0,1.8,38.6,229.9,6.0,1.4,62.8,425.9,6.8,8.3,10.0,0.8,19.1,7.5,66.8,0.4,0.7,1.1,2009
60,Arizona,13,27.4,23.2,37.2,62.2,225.2,1.5,33.1,159.4,4.8,1.5,70.3,384.5,5.5,10.4,8.3,1.5,20.2,5.5,43.0,0.6,0.9,1.5,2009
61,Florida Atlantic,12,27.4,21.4,37.0,57.9,279.7,2.2,36.2,152.4,4.2,1.4,73.2,432.1,5.9,13.5,9.2,1.8,24.4,8.3,70.7,0.7,0.6,1.3,2009
62,East Carolina,14,27.0,18.9,32.3,58.6,217.4,1.1,37.8,152.1,4.0,1.7,70.1,369.4,5.3,9.9,8.9,1.0,19.8,7.2,57.6,0.8,0.9,1.6,2009
63,North Texas,12,26.6,23.1,34.4,67.1,223.4,1.3,35.0,185.3,5.3,2.3,69.4,408.7,5.9,10.4,8.7,1.7,20.8,6.7,57.9,1.0,1.4,2.4,2009
64,South Florida,13,26.5,12.9,22.8,56.6,194.7,1.5,39.1,170.9,4.4,1.7,61.9,365.6,5.9,7.7,8.7,1.1,17.5,7.0,57.6,0.8,0.9,1.8,2009
65,USC,13,26.5,17.5,29.2,60.2,222.3,1.2,33.7,166.8,4.9,1.8,62.8,389.1,6.2,9.4,8.1,0.8,18.2,6.9,61.4,0.5,1.2,1.7,2009
66,Wake Forest,12,26.3,22.8,34.8,65.5,271.6,2.2,35.8,131.8,3.7,1.1,70.5,403.4,5.7,12.1,8.3,1.8,22.3,5.8,51.5,0.6,1.0,1.6,2009
67,UCF,13,26.2,17.2,29.2,58.8,210.3,1.6,36.9,130.5,3.5,1.5,66.1,340.8,5.2,10.1,8.1,1.0,19.2,4.0,37.6,0.5,1.0,1.5,2009
68,West Virginia,13,26.2,16.9,26.7,63.4,191.1,0.9,39.1,186.4,4.8,2.2,65.8,377.5,5.7,8.4,9.4,0.9,18.7,5.1,44.0,1.2,0.8,1.9,2009
69,Kentucky,13,26.1,13.8,25.1,55.2,140.3,1.0,42.4,191.2,4.5,2.0,67.5,331.5,4.9,6.8,11.0,1.3,19.2,4.5,38.6,0.7,0.8,1.5,2009
70,Washington,12,26.1,19.3,33.1,58.2,236.5,1.8,32.5,139.0,4.3,1.1,65.6,375.5,5.7,10.3,8.2,1.9,20.3,6.9,58.7,0.7,0.9,1.6,2009
71,Northwestern,13,25.9,26.3,40.8,64.4,286.5,1.5,38.7,117.5,3.0,1.4,79.5,404.1,5.1,13.8,7.2,2.2,23.3,5.6,44.9,0.9,1.1,2.0,2009
72,Louisiana-Monroe,12,25.6,15.4,27.4,56.2,208.4,1.5,40.7,183.9,4.5,1.8,68.1,392.3,5.8,9.5,8.9,1.5,19.9,7.5,61.1,0.7,1.7,2.3,2009
73,Mississippi State,12,25.6,12.8,22.2,57.5,144.3,0.8,46.3,227.6,4.9,1.8,68.4,371.9,5.4,6.5,11.7,0.9,19.1,5.6,49.2,1.1,1.4,2.5,2009
74,Duke,12,25.2,25.7,41.8,61.5,305.0,2.0,28.3,63.5,2.2,0.5,70.0,368.5,5.3,12.9,4.8,1.3,19.1,4.9,44.3,0.5,0.8,1.3,2009
75,Nebraska,14,25.1,15.0,26.0,57.7,175.7,1.1,36.6,147.1,4.0,1.4,62.6,322.8,5.2,7.9,7.0,1.2,16.1,7.1,63.9,0.8,0.9,1.6,2009
76,Boston College,13,24.8,13.6,27.0,50.4,187.0,1.6,36.3,136.9,3.8,1.3,63.3,323.9,5.1,7.8,7.0,1.6,16.5,5.0,43.5,0.6,1.4,2.0,2009
77,LSU,13,24.8,15.2,25.8,58.9,181.8,1.5,33.5,122.8,3.7,1.2,59.3,304.5,5.1,8.4,7.7,1.3,17.4,6.6,48.7,0.5,0.6,1.1,2009
78,Ohio,14,24.8,16.3,28.7,56.7,198.1,1.6,32.5,112.0,3.4,0.6,61.2,310.1,5.1,7.8,6.1,1.7,15.6,6.1,54.1,0.8,0.9,1.7,2009
79,UNLV,12,24.8,20.7,34.8,59.5,224.4,1.4,32.4,126.8,3.9,1.7,67.2,351.3,5.2,11.1,7.6,2.4,21.1,5.3,51.1,0.4,1.2,1.6,2009
80,Western Michigan,12,24.7,26.4,44.0,60.0,275.5,2.0,28.7,112.3,3.9,1.1,72.7,387.8,5.3,13.3,6.4,1.5,21.2,4.8,44.0,1.2,1.2,2.3,2009
81,Illinois,12,24.2,15.3,27.6,55.6,193.1,1.3,41.4,200.4,4.8,1.8,69.0,393.5,5.7,8.2,10.4,1.2,19.8,6.5,61.2,0.7,1.0,1.7,2009
82,Buffalo,12,24.1,19.0,33.5,56.7,241.9,1.8,36.2,163.5,4.5,1.3,69.7,405.4,5.8,11.6,8.3,2.1,22.0,5.3,54.3,0.8,1.3,2.1,2009
83,North Carolina,13,23.8,16.9,28.3,59.8,174.9,1.1,36.7,132.8,3.6,1.1,65.0,307.8,4.7,8.2,8.3,1.1,17.5,6.2,56.5,0.8,1.3,2.1,2009
84,Indiana,12,23.5,22.7,36.7,61.8,247.9,1.4,30.8,117.1,3.8,1.3,67.4,365.0,5.4,11.8,5.6,0.8,18.1,5.8,49.8,0.6,1.3,1.8,2009
85,San Diego State,12,23.3,20.5,37.3,54.9,263.6,2.1,27.3,78.3,2.9,0.7,64.7,341.9,5.3,12.1,4.2,1.6,17.8,5.6,47.5,0.8,1.3,2.1,2009
86,Iowa,13,23.2,16.4,30.2,54.3,222.1,1.5,34.9,114.2,3.3,1.0,65.1,336.3,5.2,9.0,7.2,1.6,17.8,4.4,34.4,0.6,1.5,2.2,2009
87,Kansas State,12,23.0,14.6,24.8,58.7,169.4,0.6,42.0,179.9,4.3,1.8,66.8,349.3,5.2,6.7,9.9,1.9,18.5,7.0,60.3,0.8,0.7,1.5,2009
88,Florida International,12,22.9,19.3,36.1,53.3,216.7,1.2,35.3,104.3,3.0,1.6,71.3,320.9,4.5,9.7,6.3,2.1,18.0,7.8,62.1,0.8,1.0,1.8,2009
89,Hawaii,13,22.8,26.1,43.8,59.6,337.0,1.9,22.5,100.5,4.5,0.9,66.2,437.5,6.6,14.5,5.7,1.3,21.5,6.0,50.2,1.2,1.3,2.5,2009
90,Arkansas State,12,22.7,16.0,27.5,58.2,193.6,0.8,35.7,135.3,3.8,1.8,63.2,328.8,5.2,7.6,8.4,1.3,17.3,7.6,60.1,1.0,1.0,2.0,2009
91,Arizona State,12,22.3,18.8,34.8,53.8,215.2,1.4,31.8,119.3,3.7,1.2,66.7,334.4,5.0,9.3,6.8,2.1,18.3,9.3,84.7,1.2,1.0,2.2,2009
92,Colorado,12,22.3,20.8,39.4,52.9,226.4,1.5,31.6,87.9,2.8,1.2,71.0,314.3,4.4,10.6,5.9,1.8,18.3,8.9,75.6,1.1,1.5,2.6,2009
93,Louisiana,12,22.2,20.0,33.8,59.1,224.8,1.2,38.3,136.9,3.6,1.6,72.2,361.8,5.0,10.0,8.5,1.5,20.0,5.5,49.2,1.3,0.7,1.9,2009
94,UCLA,13,22.0,18.8,33.5,56.0,222.8,0.8,32.4,114.6,3.5,0.9,65.9,337.4,5.1,10.4,5.6,1.4,17.4,6.2,54.7,0.9,0.9,1.8,2009
95,Marshall,13,21.8,17.9,31.1,57.7,206.4,1.1,36.2,142.7,3.9,1.4,67.3,349.1,5.2,9.7,7.4,1.7,18.8,7.2,68.7,0.7,1.0,1.7,2009
96,Memphis,12,21.8,20.2,33.8,59.8,214.8,1.1,36.3,158.3,4.4,1.7,70.1,373.1,5.3,8.9,10.1,1.3,20.3,6.8,57.1,0.9,1.3,2.2,2009
97,Colorado State,12,21.7,15.1,27.1,55.7,206.9,1.4,34.7,144.3,4.2,1.3,61.8,351.2,5.7,9.2,7.8,1.5,18.4,5.8,52.0,0.3,1.3,1.6,2009
98,Maryland,12,21.3,18.8,32.7,57.7,210.7,1.0,34.2,105.8,3.1,1.1,66.8,316.4,4.7,9.4,5.8,0.9,16.2,5.5,46.1,1.2,0.8,2.0,2009
99,Syracuse,12,21.2,19.1,29.5,64.7,203.8,1.3,35.1,126.6,3.6,1.3,64.6,330.4,5.1,10.3,6.8,1.6,18.8,6.1,51.2,1.0,1.3,2.3,2009
100,Minnesota,13,20.9,15.3,29.6,51.7,207.0,1.2,33.1,99.5,3.0,1.0,62.7,306.5,4.9,9.3,5.7,0.9,15.9,6.2,52.2,1.0,1.2,2.2,2009
101,Baylor,12,20.8,22.3,35.9,61.9,242.3,1.1,28.8,100.6,3.5,1.3,64.8,342.9,5.3,9.7,6.2,1.6,17.4,7.9,65.9,0.6,1.3,1.9,2009
102,South Carolina,13,20.6,18.8,33.8,55.5,226.2,1.4,33.5,121.2,3.6,0.9,67.3,347.4,5.2,10.1,7.1,1.2,18.4,6.2,53.5,0.8,0.8,1.6,2009
103,Iowa State,13,20.5,16.9,29.2,57.9,184.7,1.2,39.7,180.0,4.5,1.3,68.9,364.7,5.3,9.2,9.4,0.8,19.4,5.5,49.8,0.8,1.3,2.2,2009
104,Western Kentucky,12,20.4,15.1,26.1,57.8,147.9,0.9,37.1,172.8,4.7,1.5,63.2,320.8,5.1,6.9,9.3,1.7,17.8,7.1,56.8,1.3,1.0,2.3,2009
105,Akron,12,19.3,15.8,28.5,55.6,182.5,1.0,32.8,118.4,3.6,1.1,61.3,300.9,4.9,7.7,7.3,1.6,16.6,5.8,50.8,0.9,1.1,2.0,2009
106,Kent State,12,19.3,18.1,32.8,55.2,213.1,1.3,32.8,114.6,3.5,0.8,65.5,327.7,5.0,8.6,7.3,1.0,16.9,6.5,56.9,1.0,1.3,2.3,2009
107,Virginia,12,19.3,15.8,30.3,52.1,170.5,0.7,34.2,99.1,2.9,1.3,64.4,269.6,4.2,7.9,6.3,1.3,15.5,5.7,54.9,1.0,0.7,1.7,2009
108,Ball State,12,19.2,13.3,26.2,51.0,134.4,0.8,36.3,159.4,4.4,1.2,62.5,293.8,4.7,6.3,7.8,1.5,15.6,5.2,42.1,1.0,1.2,2.2,2009
109,Rice,12,18.3,20.7,37.7,54.9,195.3,1.2,33.9,109.3,3.2,1.2,71.6,304.6,4.3,8.6,7.3,2.2,18.0,5.8,47.8,0.8,1.4,2.3,2009
110,Wyoming,13,18.3,17.3,31.5,54.9,173.2,0.8,38.2,136.2,3.6,1.1,69.7,309.4,4.4,8.1,7.8,1.6,17.5,6.3,57.5,0.5,0.5,1.1,2009
111,Louisville,12,18.1,17.1,30.4,56.2,208.9,0.8,35.3,125.2,3.5,1.3,65.8,334.1,5.1,8.6,7.5,1.8,17.8,6.6,57.6,0.8,0.9,1.7,2009
112,Eastern Michigan,12,16.4,14.6,27.3,53.5,152.1,0.8,35.1,126.3,3.6,1.3,62.3,278.3,4.5,6.4,7.4,0.9,14.8,5.7,47.3,0.8,1.3,2.2,2009
113,New Mexico,12,16.3,22.3,39.2,57.0,215.1,1.1,30.1,100.3,3.3,0.7,69.3,315.3,4.6,10.7,5.4,2.0,18.1,6.6,60.3,0.9,1.3,2.2,2009
114,Vanderbilt,12,16.3,14.2,29.3,48.3,146.3,0.5,37.6,160.0,4.3,1.0,66.9,306.3,4.6,7.0,8.2,1.0,16.2,6.3,50.0,0.5,0.8,1.3,2009
115,Tulane,12,16.1,19.5,31.1,62.7,207.2,1.1,32.9,105.3,3.2,0.8,64.0,312.5,4.9,9.8,6.8,0.8,17.3,4.9,41.4,1.0,1.2,2.2,2009
116,Miami (OH),12,15.6,26.4,44.5,59.4,273.4,1.3,29.3,70.1,2.4,0.8,73.8,343.5,4.7,13.3,6.1,1.6,20.9,6.3,50.4,1.3,1.8,3.0,2009
117,Army,12,15.3,6.1,13.4,45.3,71.8,0.4,49.4,203.6,4.1,1.1,62.8,275.3,4.4,3.8,9.7,1.2,14.6,5.4,43.1,1.2,0.4,1.6,2009
118,San Jose State,12,13.8,20.0,33.6,59.6,207.3,1.1,29.3,76.7,2.6,0.7,62.8,284.0,4.5,9.0,4.9,2.1,16.0,6.2,46.2,0.8,1.3,2.1,2009
119,Washington State,12,12.0,16.3,31.0,52.4,177.9,0.9,29.5,70.7,2.4,0.4,60.5,248.6,4.1,7.3,4.3,1.8,13.3,6.7,56.8,1.3,1.3,2.6,2009
120,New Mexico State,13,11.5,10.2,20.7,49.4,87.8,0.5,38.7,141.5,3.7,0.8,59.4,229.3,3.9,3.7,7.8,1.2,12.6,5.2,45.9,0.8,1.4,2.2,2009
1,Oklahoma,14,51.1,25.0,36.9,67.7,349.4,3.6,42.1,198.5,4.7,3.2,79.0,547.9,6.9,15.1,10.9,1.6,27.6,7.3,64.6,0.1,0.6,0.8,2008
2,Tulsa,14,47.2,19.3,30.2,63.8,301.9,3.4,48.1,268.0,5.6,2.9,78.4,569.9,7.3,13.1,13.4,1.4,27.9,4.4,37.0,0.6,1.5,2.1,2008
3,Texas Tech,13,43.8,35.8,50.9,70.2,413.2,3.6,24.4,117.8,4.8,2.2,75.3,531.0,7.1,18.2,8.1,1.3,27.5,7.3,60.2,0.8,0.8,1.6,2008
4,Florida,14,43.6,15.1,23.5,64.1,213.9,2.4,38.9,231.1,5.9,3.0,62.4,445.1,7.1,9.2,11.0,1.6,21.9,7.3,59.9,0.6,0.4,0.9,2008
5,Texas,13,42.4,26.4,34.4,76.7,308.3,2.8,39.1,167.5,4.3,2.5,73.5,475.8,6.5,14.5,10.2,2.4,27.1,6.4,56.8,0.5,0.6,1.1,2008
6,Missouri,14,42.2,28.9,40.4,71.5,330.4,2.9,29.8,153.8,5.2,2.0,70.1,484.1,6.9,16.8,7.1,1.6,25.6,4.1,37.4,0.6,1.3,1.9,2008
7,Oregon,13,41.9,15.7,28.7,54.7,204.8,1.5,45.0,280.1,6.2,3.6,73.7,484.8,6.6,8.7,12.3,2.2,23.2,7.1,62.1,1.1,0.9,2.0,2008
8,Rice,13,41.3,26.1,39.7,65.7,327.2,3.7,34.5,143.7,4.2,1.6,74.2,470.9,6.3,15.2,8.9,1.8,25.9,4.9,42.5,0.7,0.5,1.2,2008
9,Oklahoma State,13,40.8,16.2,25.1,64.4,242.2,1.9,44.8,245.5,5.5,2.9,69.8,487.7,7.0,10.2,13.4,1.3,24.9,6.5,54.3,0.8,0.8,1.5,2008
10,Houston,13,40.6,31.6,46.9,67.4,401.6,3.5,31.2,161.2,5.2,1.8,78.2,562.8,7.2,17.3,8.2,1.8,27.3,6.3,58.2,1.3,0.8,2.2,2008
11,Penn State,13,38.9,17.2,29.5,58.5,243.1,1.8,39.3,205.8,5.2,2.8,68.8,448.9,6.5,10.9,10.5,1.7,23.1,3.8,31.4,0.8,0.5,1.2,2008
12,Boise State,13,37.6,22.9,33.7,68.0,288.5,2.3,34.5,152.3,4.4,2.2,68.2,440.8,6.5,12.5,7.8,1.6,21.9,7.2,64.5,1.2,0.8,2.0,2008
13,Nevada,13,37.6,17.2,32.2,53.6,230.8,1.7,45.6,277.8,6.1,3.0,77.8,508.5,6.5,10.3,13.4,1.6,25.3,6.8,57.9,1.2,0.7,1.8,2008
14,USC,13,37.5,19.5,29.8,65.5,259.8,2.8,38.7,194.8,5.0,2.1,68.5,454.7,6.6,11.8,10.2,1.5,23.5,7.9,72.9,0.8,0.9,1.7,2008
15,Utah,13,36.9,21.5,31.8,67.4,244.5,2.2,38.4,156.5,4.1,1.8,70.2,400.9,5.7,11.8,8.6,1.2,21.7,6.9,62.8,0.7,0.7,1.4,2008
16,Arizona,13,36.6,20.5,31.7,64.6,244.0,1.8,38.8,158.4,4.1,2.5,70.5,402.4,5.7,12.0,8.7,1.4,22.1,4.1,35.2,0.8,0.6,1.5,2008
17,Nebraska,13,35.4,22.7,33.3,68.1,281.0,2.1,37.4,169.8,4.5,2.1,70.7,450.8,6.4,13.2,8.7,0.8,22.7,7.2,61.5,1.3,0.8,2.2,2008
18,Ball State,14,34.9,18.6,28.9,64.4,258.0,1.9,37.1,184.5,5.0,2.3,66.1,442.5,6.7,11.9,9.7,1.6,23.2,2.8,26.7,0.7,0.6,1.3,2008
19,Kansas State,12,34.9,20.8,35.4,58.8,269.6,1.8,34.0,132.5,3.9,2.2,69.4,402.1,5.8,11.5,7.8,1.6,20.8,5.6,45.8,1.2,0.8,2.0,2008
20,Brigham Young,13,34.2,26.0,37.9,68.6,310.4,2.7,32.6,134.4,4.1,1.6,70.5,444.8,6.3,15.2,7.3,1.6,24.2,7.8,70.2,1.1,1.1,2.2,2008
21,Texas Christian,13,33.6,16.7,28.5,58.5,201.1,1.1,49.4,220.2,4.5,3.0,77.9,421.3,5.4,10.4,11.9,1.3,23.6,8.8,76.9,0.5,0.6,1.2,2008
22,Florida State,13,33.4,16.2,29.8,54.5,192.8,1.4,37.2,179.1,4.8,2.1,66.9,371.8,5.6,8.7,10.1,1.6,20.4,7.8,72.1,0.8,1.2,2.0,2008
23,Kansas,13,33.4,25.6,38.5,66.6,305.6,2.5,34.2,126.8,3.7,1.8,72.7,432.4,5.9,13.2,8.5,1.4,23.2,4.8,44.3,0.7,1.0,1.7,2008
24,Louisiana,12,33.1,15.3,24.0,63.5,185.5,1.5,44.4,263.7,5.9,2.7,68.4,449.2,6.6,8.3,11.3,1.3,20.8,7.1,57.8,0.8,1.3,2.1,2008
25,UTEP,12,32.9,21.5,37.3,57.6,284.2,2.8,30.9,122.3,4.0,0.8,68.3,406.5,6.0,12.3,6.5,1.8,20.6,6.1,57.3,0.5,0.8,1.3,2008
26,Troy,13,32.8,24.5,40.3,60.9,246.6,2.0,34.5,167.6,4.9,1.8,74.8,414.2,5.5,11.5,9.5,1.5,22.4,6.8,57.8,0.9,0.8,1.8,2008
27,California,13,32.6,16.1,30.5,52.6,189.8,1.9,33.5,186.2,5.6,1.7,64.0,376.0,5.9,8.5,7.5,1.8,17.7,5.9,49.9,0.7,0.8,1.5,2008
28,Ole Miss,13,32.1,14.6,26.2,55.9,221.2,2.1,40.0,186.5,4.7,1.6,66.2,407.6,6.2,9.5,9.4,0.8,19.7,5.1,48.0,0.8,1.2,1.9,2008
29,Georgia,13,31.5,18.9,30.8,61.5,277.7,2.1,32.8,148.3,4.5,1.6,63.5,426.0,6.7,12.5,7.3,1.2,21.0,8.6,72.2,0.7,0.8,1.5,2008
30,LSU,13,30.9,15.8,30.1,52.7,201.3,1.6,38.1,166.8,4.4,2.1,68.2,368.1,5.4,8.8,9.4,1.4,19.5,6.3,49.9,0.2,1.4,1.5,2008
31,Southern Mississippi,13,30.6,20.2,35.2,57.3,241.1,1.8,40.8,192.5,4.7,2.2,76.0,433.5,5.7,10.5,10.2,1.3,22.1,7.6,74.8,0.5,0.7,1.2,2008
32,Oregon State,13,30.5,20.8,34.5,60.3,249.0,1.9,37.5,158.1,4.2,1.6,71.9,407.1,5.7,10.9,9.2,1.4,21.5,6.7,56.8,0.5,1.2,1.6,2008
33,Buffalo,14,30.3,21.9,33.7,64.8,237.6,1.8,34.7,132.7,3.8,1.9,68.4,370.3,5.4,11.1,7.3,1.6,19.9,4.7,44.9,0.6,0.4,1.0,2008
34,Iowa,13,30.3,14.4,24.6,58.4,181.7,1.2,39.6,188.7,4.8,2.3,64.2,370.4,5.8,8.3,11.2,1.2,20.7,4.1,34.3,1.0,0.8,1.8,2008
35,Alabama,14,30.1,13.9,23.9,58.4,171.1,0.8,40.6,184.6,4.6,2.3,64.4,355.8,5.5,8.0,9.5,1.3,18.8,4.1,37.1,0.7,0.6,1.4,2008
36,Akron,12,30.0,19.3,33.7,57.4,231.5,1.7,36.3,165.2,4.6,1.9,69.9,396.7,5.7,11.3,8.8,1.2,21.3,5.5,46.5,0.5,1.2,1.7,2008
37,Fresno State,13,29.6,17.0,28.6,59.4,204.9,1.4,36.8,182.3,4.9,1.8,65.5,387.2,5.9,9.8,9.2,1.7,20.7,4.9,41.8,0.9,0.9,1.8,2008
38,Central Michigan,13,29.5,24.4,36.9,66.0,289.8,2.2,37.2,133.7,3.6,1.5,74.2,423.5,5.7,13.5,8.5,1.1,23.2,5.8,56.6,0.3,0.6,0.9,2008
39,Rutgers,13,29.0,19.2,31.9,60.2,270.4,2.0,32.5,128.0,3.9,1.6,64.5,398.4,6.2,12.2,6.5,1.6,20.3,4.5,38.8,0.4,1.2,1.5,2008
40,Illinois,12,28.7,18.6,32.8,56.7,269.3,1.8,38.3,169.5,4.4,1.4,71.1,438.8,6.2,11.8,8.8,0.8,21.4,5.5,51.0,0.8,1.3,2.2,2008
41,Western Michigan,13,28.6,26.6,41.2,64.7,294.7,2.8,27.5,116.8,4.2,0.8,68.7,411.5,6.0,13.0,6.3,2.2,21.5,6.2,47.4,1.0,0.8,1.8,2008
42,Baylor,12,28.0,14.2,24.2,58.6,180.7,1.3,40.1,195.8,4.9,2.4,64.3,376.4,5.9,7.8,10.3,1.6,19.8,6.7,54.7,0.5,0.4,0.9,2008
43,Bowling Green State,12,27.7,22.8,34.3,66.7,225.8,2.0,33.9,134.0,4.0,1.6,68.2,359.8,5.3,10.8,8.0,1.2,20.0,6.3,53.4,1.0,0.8,1.8,2008
44,North Carolina,13,27.7,14.0,24.6,56.9,198.8,1.6,34.7,122.6,3.5,1.4,59.3,321.4,5.4,8.4,6.8,0.6,15.8,4.8,42.3,0.8,0.9,1.8,2008
45,Ohio State,13,27.6,12.3,20.5,59.9,150.2,1.3,41.5,192.5,4.6,1.6,62.1,342.7,5.5,6.3,10.2,1.2,17.7,5.2,43.6,0.5,0.5,1.0,2008
46,South Florida,13,27.6,19.6,31.3,62.7,239.6,1.4,39.8,165.4,4.2,1.8,71.2,405.0,5.7,11.9,9.2,1.2,22.4,8.5,67.8,0.8,1.2,1.9,2008
47,Wisconsin,13,27.5,13.8,25.6,54.1,188.1,0.8,43.6,211.2,4.8,2.4,69.2,399.2,5.8,8.8,10.2,0.7,19.6,5.3,47.4,1.5,0.8,2.3,2008
48,Memphis,13,27.2,19.0,33.6,56.5,222.4,1.5,41.5,194.8,4.7,1.9,75.2,417.2,5.6,10.1,11.5,2.2,23.8,4.5,39.9,0.4,0.9,1.3,2008
49,Navy,13,27.2,3.5,7.2,49.5,60.9,0.5,55.0,292.4,5.3,2.5,62.2,353.3,5.7,2.1,14.3,0.8,17.2,3.2,26.8,0.8,0.4,1.2,2008
50,Miami (FL),13,27.1,18.2,31.6,57.7,196.8,1.7,32.8,129.2,3.9,1.3,64.4,326.0,5.1,9.2,6.8,0.9,16.9,5.7,46.5,0.4,1.5,1.9,2008
51,Pitt,13,27.1,16.4,29.3,55.9,203.4,0.8,37.8,139.1,3.7,2.2,67.2,342.5,5.1,9.1,7.8,1.5,18.4,4.4,33.8,1.0,1.1,2.1,2008
52,Arkansas State,12,27.0,13.9,25.7,54.2,195.5,1.3,40.7,203.3,5.0,1.6,66.3,398.8,6.0,7.9,10.4,1.5,19.8,7.0,65.0,0.6,0.7,1.3,2008
53,Air Force,13,26.8,5.7,10.6,53.6,82.2,0.7,59.8,266.9,4.5,2.1,70.4,349.1,5.0,2.8,14.8,1.0,18.5,5.6,46.3,0.8,0.5,1.3,2008
54,Stanford,12,26.3,13.5,23.9,56.4,152.2,0.9,40.8,199.6,4.9,2.2,64.8,351.8,5.4,7.2,9.8,1.8,18.8,6.9,61.9,0.8,1.3,2.1,2008
55,Cincinnati,14,25.9,20.7,33.7,61.4,253.0,1.9,32.5,117.6,3.6,1.1,66.2,370.6,5.6,11.1,7.1,1.3,19.4,7.1,64.5,1.1,1.1,2.1,2008
56,Eastern Michigan,12,25.8,25.7,41.6,61.7,269.3,1.4,34.8,148.2,4.3,1.9,76.4,417.5,5.5,13.5,7.6,1.9,23.0,5.4,50.0,0.4,1.1,1.5,2008
57,Kent State,12,25.7,13.8,25.0,55.0,169.7,1.2,43.9,230.6,5.3,2.3,68.9,400.3,5.8,7.3,12.3,1.7,21.3,5.2,39.6,1.2,0.9,2.1,2008
