off_Rk,School,G,Pts,pass_cmp,pass_Att,cmp_Pct,pass_Yds,pass_TD,rush_Att,rush_Yds,rush_Avg,rush_TD,Plays,Yds,Avg_Yds,1st_down_Pass,1st_down_Rush,1st_down_Pen,1st_down_Tot,pen_No.,pen_Yds,Fum,Int,TO_Tot,year
81,Eastern Michigan,13,27.0,18.9,29.8,63.6,226.7,1.6,37.8,146.1,3.9,1.8,67.6,372.8,5.5,9.5,7.2,1.5,18.3,7.3,68.4,0.8,0.3,1.1,2018
82,Iowa State,13,26.8,18.2,27.8,65.7,240.9,1.5,35.7,130.2,3.6,1.5,63.5,371.2,5.8,9.5,7.9,1.9,19.2,4.8,39.8,0.8,0.7,1.5,2018
83,Tulane,13,26.8,11.7,23.1,50.7,183.1,1.2,46.2,218.7,4.7,2.2,69.2,401.8,5.8,7.2,10.2,1.3,18.7,6.8,61.9,0.9,0.5,1.5,2018
84,Coastal Carolina,12,26.7,13.7,22.1,61.9,180.7,1.6,42.8,198.7,4.6,1.8,64.9,379.3,5.8,8.0,10.6,2.1,20.7,4.3,41.1,0.9,0.6,1.5,2018
85,Kentucky,13,26.6,14.9,22.8,65.5,161.5,1.1,41.0,202.0,4.9,2.1,63.8,363.5,5.7,7.4,10.8,1.8,19.9,6.1,55.5,0.6,0.8,1.4,2018
86,Louisiana-Monroe,12,26.6,19.9,32.3,61.8,247.5,1.4,34.5,167.3,4.9,1.8,66.8,414.8,6.2,10.2,8.8,1.5,20.5,5.3,49.0,0.9,1.0,1.9,2018
87,New Mexico,12,26.6,12.8,24.0,53.1,176.8,1.8,42.1,153.2,3.6,1.4,66.1,330.0,5.0,7.1,9.2,1.3,17.5,4.7,47.4,0.8,1.4,2.2,2018
88,Indiana,12,26.4,26.3,40.1,65.7,257.8,1.7,35.7,157.3,4.4,1.4,75.8,415.2,5.5,11.9,8.8,2.8,23.5,5.9,60.8,0.7,1.1,1.8,2018
89,Washington,14,26.4,18.9,28.9,65.2,238.4,1.4,40.3,176.3,4.4,1.8,69.2,414.6,6.0,11.1,9.3,1.7,22.1,4.9,44.2,0.4,0.9,1.2,2018
90,Southern Mississippi,11,26.2,24.5,35.4,69.2,255.0,1.7,36.3,112.6,3.1,1.0,71.6,367.6,5.1,12.0,7.0,1.8,20.8,5.5,45.5,0.9,1.2,2.1,2018
