Rk,School,G,Pts,Cmp,Att,Pct,Yds,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,Pass,Rush,Pen,Tot,No.,Yds,Fum,Int,TO,year
29,Air Force,9,20.9,18.2,28.4,64.1,216.6,1.6,28.8,96.9,3.4,1.1,57.2,313.4,5.5,9.7,5.9,0.9,16.4,4.4,30.3,0.4,0.4,0.9,2019
30,Army,10,21.0,15.3,24.7,61.9,173.5,1.0,36.7,155.7,4.2,1.7,61.4,329.2,5.4,8.3,8.3,1.2,17.8,5.5,40.4,0.9,0.7,1.6,2019
31,Cincinnati,9,21.0,16.6,32.8,50.5,227.4,1.3,38.7,135.8,3.5,1.1,71.4,363.2,5.1,9.6,7.8,3.4,20.8,7.4,60.7,0.9,1.4,2.3,2019
32,Kansas State,9,21.1,15.2,25.7,59.3,194.8,0.6,32.1,172.0,5.4,1.8,57.8,366.8,6.3,8.1,7.2,1.6,16.9,5.7,54.8,0.4,1.0,1.4,2019
33,Washington,10,21.2,20.2,32.8,61.6,217.0,1.1,34.4,136.1,4.0,1.3,67.2,353.1,5.3,9.8,7.8,1.7,19.3,5.5,46.3,0.7,0.9,1.6,2019
34,Texas A&M,9,21.9,18.0,32.2,55.9,193.0,1.3,32.4,142.4,4.4,1.1,64.7,335.4,5.2,9.3,8.2,1.9,19.4,6.8,49.8,0.4,1.1,1.6,2019
35,Arizona State,9,22.2,23.6,36.3,64.8,269.0,1.7,34.8,109.8,3.2,1.2,71.1,378.8,5.3,11.8,6.4,2.0,20.2,6.7,53.9,1.3,0.4,1.8,2019
36,LSU,9,22.3,19.0,35.2,53.9,239.8,1.9,32.4,101.7,3.1,0.6,67.7,341.4,5.0,11.3,4.7,2.6,18.6,6.7,50.6,0.4,1.1,1.6,2019
37,Virginia,10,22.5,15.0,26.4,56.8,193.5,1.5,35.5,124.9,3.5,1.3,61.9,318.4,5.1,7.3,7.6,1.9,16.8,5.9,47.1,0.4,0.7,1.1,2019
38,Marshall,10,22.6,19.1,31.9,59.9,232.8,1.2,35.2,130.6,3.7,1.7,67.1,363.4,5.4,10.6,7.2,2.1,19.9,5.3,46.5,0.4,0.6,1.0,2019
39,Boise State,9,22.7,17.9,32.9,54.4,226.1,1.7,32.6,118.1,3.6,1.2,65.4,344.2,5.3,9.9,6.6,1.8,18.2,6.7,57.9,0.7,0.6,1.2,2019
40,Tennessee,10,23.0,16.2,27.6,58.7,194.5,1.1,39.5,154.1,3.9,1.6,67.1,348.6,5.2,9.3,9.3,2.0,20.6,6.1,54.5,0.4,1.4,1.8,2019
41,Buffalo,10,23.1,16.8,27.6,60.9,204.4,1.7,32.5,88.7,2.7,1.1,60.1,293.1,4.9,8.1,5.8,1.5,15.4,5.8,45.9,1.0,0.9,1.9,2019
42,Michigan State,9,23.6,20.6,32.6,63.1,214.9,1.8,34.0,109.0,3.2,1.0,66.6,323.9,4.9,9.7,6.1,2.1,17.9,7.0,65.7,0.7,1.0,1.7,2019
43,UCF,10,23.6,19.7,36.5,54.0,210.2,1.5,40.6,138.4,3.4,1.0,77.1,348.6,4.5,10.1,8.2,2.4,20.7,7.4,71.9,0.4,0.9,1.3,2019
44,Louisiana Tech,10,23.7,22.5,36.2,62.2,250.6,1.2,37.1,145.6,3.9,1.7,73.3,396.2,5.4,12.3,8.0,1.6,21.9,5.1,47.2,0.7,1.2,1.9,2019
45,Ole Miss,10,23.9,24.6,37.8,65.1,274.2,1.5,33.8,123.2,3.6,1.1,71.6,397.4,5.6,12.3,8.0,1.5,21.7,5.7,48.5,0.5,0.8,1.3,2019
46,Florida Atlantic,10,24.1,20.0,34.0,58.8,254.6,1.8,34.8,139.9,4.0,1.3,68.8,394.5,5.7,10.5,6.8,2.4,19.7,6.3,57.2,0.7,1.4,2.1,2019
47,South Carolina,10,24.5,19.1,32.8,58.2,228.6,1.9,36.3,136.7,3.8,0.5,69.1,365.3,5.3,10.2,7.1,1.7,18.9,5.9,45.3,0.4,1.2,1.6,2019
48,Iowa State,9,25.0,23.1,35.1,65.8,229.3,1.7,34.7,130.4,3.8,1.0,69.8,359.8,5.2,10.1,8.1,1.0,19.2,5.6,49.9,0.7,0.6,1.2,2019
49,Oklahoma,9,25.0,18.8,30.7,61.2,209.4,1.8,35.8,145.7,4.1,1.4,66.4,355.1,5.3,10.6,7.2,3.3,21.0,7.1,52.9,0.2,0.4,0.7,2019
50,Northwestern,9,25.4,18.8,29.8,63.1,200.1,1.4,37.3,148.9,4.0,1.3,67.1,349.0,5.2,8.6,7.2,2.3,18.1,5.9,60.0,0.7,0.4,1.1,2019
51,Temple,9,25.4,19.0,36.6,52.0,234.2,1.8,41.2,155.9,3.8,1.3,77.8,390.1,5.0,9.9,8.9,3.1,21.9,5.0,43.1,1.0,0.6,1.6,2019
52,Tulane,9,25.4,15.1,28.7,52.7,196.9,1.6,37.8,167.6,4.4,1.4,66.4,364.4,5.5,8.3,9.0,1.8,19.1,4.8,40.3,0.4,0.9,1.3,2019
53,Illinois,10,25.7,16.1,27.9,57.7,213.2,1.6,45.9,198.1,4.3,1.4,73.8,411.3,5.6,9.6,10.4,1.5,21.5,4.5,38.1,1.6,1.0,2.6,2019
54,Memphis,9,25.8,16.9,31.4,53.7,216.2,1.3,43.1,178.6,4.1,1.7,74.6,394.8,5.3,9.6,9.9,2.4,21.9,6.4,63.0,0.6,0.8,1.3,2019
55,Southern Mississippi,9,25.8,17.1,28.6,59.9,238.9,1.9,31.9,107.4,3.4,1.3,60.4,346.3,5.7,9.9,6.2,1.3,17.4,4.0,37.3,0.2,0.9,1.1,2019
56,Wake Forest,9,25.9,20.1,33.2,60.5,243.8,1.9,38.7,164.0,4.2,1.3,71.9,407.8,5.7,11.0,7.9,1.2,20.1,6.4,54.9,0.9,1.0,1.9,2019
57,Texas Christian,9,26.4,16.6,30.1,55.0,195.6,1.6,32.9,127.1,3.9,1.6,63.0,322.7,5.1,7.2,5.8,2.1,15.1,5.8,49.2,0.1,1.2,1.3,2019
58,Florida International,10,26.6,15.5,27.6,56.2,180.3,0.9,38.7,209.7,5.4,2.2,66.3,390.0,5.9,7.2,10.7,1.7,19.6,7.1,66.7,0.4,0.8,1.2,2019
59,Liberty,10,26.6,18.1,29.7,60.9,231.3,2.1,41.2,193.3,4.7,1.2,70.9,424.6,6.0,9.9,9.4,2.2,21.5,7.7,68.5,0.5,1.0,1.5,2019
60,Stanford,9,26.7,21.0,32.6,64.5,254.9,1.9,34.6,152.9,4.4,1.4,67.1,407.8,6.1,12.0,8.4,1.2,21.7,6.1,58.3,0.4,0.8,1.2,2019
61,Western Michigan,11,27.0,22.5,33.5,67.2,240.4,1.5,38.5,189.2,4.9,1.6,72.0,429.5,6.0,12.0,8.4,1.8,23.3,7.2,61.4,0.6,1.0,1.6,2019
62,Central Michigan,10,27.1,20.1,33.1,60.7,242.0,1.8,33.6,112.7,3.4,1.4,66.7,354.7,5.3,10.3,7.4,2.1,19.8,6.6,53.4,0.6,1.1,1.7,2019
63,South Florida,9,27.1,16.8,26.2,64.0,183.6,1.2,45.8,194.1,4.2,2.0,72.0,377.7,5.2,7.8,11.7,2.8,22.2,5.3,50.1,1.2,1.1,2.3,2019
64,Duke,9,27.2,16.8,30.8,54.5,203.8,1.9,38.8,161.0,4.2,1.2,69.6,364.8,5.2,9.0,8.6,2.0,19.4,5.9,58.3,0.8,1.0,1.8,2019
65,Virginia Tech,9,27.2,21.1,37.7,56.0,259.4,2.1,35.3,131.9,3.7,1.3,73.0,391.3,5.4,11.0,7.1,2.1,20.2,7.1,56.2,0.3,1.1,1.4,2019
66,Brigham Young,9,27.3,19.6,30.6,64.0,223.7,1.7,42.7,197.3,4.6,1.2,73.2,421.0,5.7,10.1,11.7,1.6,23.3,6.7,56.1,0.7,1.3,2.0,2019
67,Utah State,9,27.3,19.2,32.4,59.2,258.3,1.4,45.6,182.9,4.0,2.1,78.0,441.2,5.7,11.6,10.3,1.3,22.9,6.9,60.1,1.0,0.7,1.7,2019
68,North Carolina,10,27.8,20.1,32.3,62.2,247.3,1.5,37.7,159.2,4.2,1.8,70.0,406.5,5.8,11.2,7.8,1.7,20.7,5.3,39.5,0.4,0.8,1.2,2019
69,Purdue,10,27.8,19.8,32.4,61.1,238.5,1.5,38.2,172.2,4.5,1.8,70.6,410.7,5.8,10.4,8.6,1.3,20.3,7.3,61.9,0.3,0.8,1.1,2019
70,Northern Illinois,10,27.9,15.8,27.5,57.5,208.3,1.5,36.0,180.1,5.0,2.0,63.5,388.4,6.1,8.4,8.6,1.5,18.4,4.9,47.1,0.6,0.4,1.0,2019
71,Texas Tech,9,28.0,21.0,33.9,62.0,308.6,1.7,36.8,162.4,4.4,2.0,70.7,471.0,6.7,11.9,7.4,1.4,20.8,6.3,60.6,0.6,1.4,2.0,2019
72,Rice,9,28.1,18.4,27.7,66.7,242.9,1.7,36.2,152.2,4.2,1.7,63.9,395.1,6.2,10.8,8.1,0.7,19.6,6.2,62.4,0.3,0.4,0.8,2019
73,USC,10,28.1,21.7,35.0,62.0,247.2,1.9,36.8,170.8,4.6,1.2,71.8,418.0,5.8,10.8,9.5,2.6,22.9,8.5,73.8,0.7,0.6,1.3,2019
74,Old Dominion,10,28.2,17.7,28.3,62.5,227.2,1.5,37.4,139.3,3.7,1.8,65.7,366.5,5.6,9.9,8.0,1.7,19.6,5.4,54.3,0.8,0.8,1.6,2019
75,North Carolina State,9,28.7,24.3,37.9,64.2,249.8,1.4,35.8,133.1,3.7,2.0,73.7,382.9,5.2,12.2,6.9,2.4,21.6,8.4,63.4,0.2,0.3,0.6,2019
76,Miami (OH),10,28.8,17.2,30.2,57.0,191.3,1.9,42.9,190.0,4.4,1.8,73.1,381.3,5.2,9.0,11.0,2.5,22.2,6.8,58.9,0.8,1.0,1.8,2019
77,Toledo,10,28.8,20.8,33.7,61.7,266.2,1.5,38.2,199.3,5.2,2.0,71.9,465.5,6.5,11.6,9.0,1.8,22.4,5.8,52.9,0.4,0.7,1.1,2019
78,Florida State,10,29.0,23.3,38.4,60.7,274.2,1.4,43.7,167.3,3.8,1.7,82.1,441.5,5.4,13.1,8.8,3.0,24.9,7.4,62.2,0.8,0.6,1.4,2019
79,Nebraska,9,29.1,20.4,32.8,62.4,232.3,1.4,40.0,174.0,4.4,2.2,72.8,406.3,5.6,10.3,9.6,1.3,21.3,5.8,52.1,0.4,1.1,1.6,2019
80,Ball State,9,29.3,19.3,34.2,56.5,227.6,0.8,40.3,185.7,4.6,2.8,74.6,413.2,5.5,10.9,9.4,1.3,21.6,6.8,55.6,0.8,1.3,2.1,2019
81,Oklahoma State,9,29.3,21.0,36.2,58.0,275.6,1.9,38.7,162.7,4.2,1.6,74.9,438.2,5.9,11.0,8.9,1.7,21.6,7.7,72.9,0.6,1.0,1.6,2019
82,Georgia Southern,9,29.6,18.7,31.2,59.8,229.0,2.2,36.7,151.2,4.1,1.6,67.9,380.2,5.6,9.0,8.3,1.1,18.4,4.8,44.4,0.9,0.6,1.4,2019
83,Georgia Tech,9,29.6,17.1,28.0,61.1,195.7,1.3,44.9,211.1,4.7,2.1,72.9,406.8,5.6,8.9,11.4,1.9,22.2,6.2,52.6,0.6,0.8,1.3,2019
